date,local,ndoc,noc
1941-01-01,Montalegre,7,1
1941-01-01,Bragança,0,0
1941-01-01,Mirandela,6,1
1941-01-01,Miranda do Douro,,
1941-01-01,Vila Real/CC,17,2
1941-01-01,Carrazêda de Ansiães,,
1941-01-01,Pinhão,,
1941-01-01,Guarda,,
1941-01-01,Nelas,,
1941-01-01,Penhas Douradas,0,0
1941-01-01,Fundão,,
1941-01-01,Castelo Branco,,
1942-01-01,Montalegre,7,1
1942-01-01,Bragança,6,1
1942-01-01,Mirandela,7,1
1942-01-01,Miranda do Douro,0,0
1942-01-01,Vila Real/CC,7,1
1942-01-01,Carrazêda de Ansiães,,
1942-01-01,Pinhão,,
1942-01-01,Guarda,,
1942-01-01,Nelas,,
1942-01-01,Penhas Douradas,6,1
1942-01-01,Fundão,,
1942-01-01,Castelo Branco,,
1943-01-01,Montalegre,7,1
1943-01-01,Bragança,7,1
1943-01-01,Mirandela,19,3
1943-01-01,Miranda do Douro,7,1
1943-01-01,Vila Real/CC,29,3
1943-01-01,Carrazêda de Ansiães,,
1943-01-01,Pinhão,,
1943-01-01,Guarda,,
1943-01-01,Nelas,,
1943-01-01,Penhas Douradas,13,2
1943-01-01,Fundão,,
1943-01-01,Castelo Branco,,
1944-01-01,Montalegre,0,0
1944-01-01,Bragança,0,0
1944-01-01,Mirandela,0,0
1944-01-01,Miranda do Douro,0,0
1944-01-01,Vila Real/CC,14,1
1944-01-01,Carrazêda de Ansiães,,
1944-01-01,Pinhão,,
1944-01-01,Guarda,,
1944-01-01,Nelas,,
1944-01-01,Penhas Douradas,0,0
1944-01-01,Fundão,,
1944-01-01,Castelo Branco,,
1945-01-01,Montalegre,0,0
1945-01-01,Bragança,0,0
1945-01-01,Mirandela,0,0
1945-01-01,Miranda do Douro,0,0
1945-01-01,Vila Real/CC,6,1
1945-01-01,Carrazêda de Ansiães,,
1945-01-01,Pinhão,,
1945-01-01,Guarda,,
1945-01-01,Nelas,,
1945-01-01,Penhas Douradas,0,0
1945-01-01,Fundão,,
1945-01-01,Castelo Branco,,
1946-01-01,Montalegre,0,0
1946-01-01,Bragança,0,0
1946-01-01,Mirandela,0,0
1946-01-01,Miranda do Douro,0,0
1946-01-01,Vila Real/CC,6,1
1946-01-01,Carrazêda de Ansiães,,
1946-01-01,Pinhão,,
1946-01-01,Guarda,,
1946-01-01,Nelas,,
1946-01-01,Penhas Douradas,0,0
1946-01-01,Fundão,,
1946-01-01,Castelo Branco,,
1947-01-01,Montalegre,0,0
1947-01-01,Bragança,0,0
1947-01-01,Mirandela,0,0
1947-01-01,Miranda do Douro,0,0
1947-01-01,Vila Real/CC,6,1
1947-01-01,Carrazêda de Ansiães,,
1947-01-01,Pinhão,,
1947-01-01,Guarda,,
1947-01-01,Nelas,,
1947-01-01,Penhas Douradas,0,0
1947-01-01,Fundão,,
1947-01-01,Castelo Branco,,
1948-01-01,Montalegre,0,0
1948-01-01,Bragança,7,1
1948-01-01,Mirandela,0,0
1948-01-01,Miranda do Douro,0,0
1948-01-01,Vila Real/CC,13,2
1948-01-01,Carrazêda de Ansiães,,
1948-01-01,Pinhão,,
1948-01-01,Guarda,,
1948-01-01,Nelas,,
1948-01-01,Penhas Douradas,0,0
1948-01-01,Fundão,,
1948-01-01,Castelo Branco,,
1949-01-01,Montalegre,12,2
1949-01-01,Bragança,0,0
1949-01-01,Mirandela,12,2
1949-01-01,Miranda do Douro,6,1
1949-01-01,Vila Real/CC,25,3
1949-01-01,Carrazêda de Ansiães,,
1949-01-01,Pinhão,,
1949-01-01,Guarda,,
1949-01-01,Nelas,,
1949-01-01,Penhas Douradas,6,1
1949-01-01,Fundão,,
1949-01-01,Castelo Branco,,
1950-01-01,Montalegre,0,0
1950-01-01,Bragança,0,0
1950-01-01,Mirandela,0,0
1950-01-01,Miranda do Douro,0,0
1950-01-01,Vila Real/CC,0,0
1950-01-01,Carrazêda de Ansiães,,
1950-01-01,Pinhão,,
1950-01-01,Guarda,0,0
1950-01-01,Nelas,,
1950-01-01,Penhas Douradas,0,0
1950-01-01,Fundão,,
1950-01-01,Castelo Branco,0,0
1951-01-01,Montalegre,0,0
1951-01-01,Bragança,0,0
1951-01-01,Mirandela,0,0
1951-01-01,Miranda do Douro,0,0
1951-01-01,Vila Real/CC,0,0
1951-01-01,Carrazêda de Ansiães,,
1951-01-01,Pinhão,,
1951-01-01,Guarda,0,0
1951-01-01,Nelas,,
1951-01-01,Penhas Douradas,0,0
1951-01-01,Fundão,,
1951-01-01,Castelo Branco,0,0
1952-01-01,Montalegre,0,0
1952-01-01,Bragança,0,0
1952-01-01,Mirandela,0,0
1952-01-01,Miranda do Douro,0,0
1952-01-01,Vila Real/CC,0,0
1952-01-01,Carrazêda de Ansiães,,
1952-01-01,Pinhão,,
1952-01-01,Guarda,0,0
1952-01-01,Nelas,,
1952-01-01,Penhas Douradas,0,0
1952-01-01,Fundão,,
1952-01-01,Castelo Branco,0,0
1953-01-01,Montalegre,0,0
1953-01-01,Bragança,0,0
1953-01-01,Mirandela,0,0
1953-01-01,Miranda do Douro,0,0
1953-01-01,Vila Real/CC,4,0
1953-01-01,Carrazêda de Ansiães,,
1953-01-01,Pinhão,,
1953-01-01,Guarda,0,0
1953-01-01,Nelas,,
1953-01-01,Penhas Douradas,0,0
1953-01-01,Fundão,,
1953-01-01,Castelo Branco,3,0
1954-01-01,Montalegre,0,0
1954-01-01,Bragança,0,0
1954-01-01,Mirandela,0,0
1954-01-01,Miranda do Douro,0,0
1954-01-01,Vila Real/CC,0,0
1954-01-01,Carrazêda de Ansiães,,
1954-01-01,Pinhão,,
1954-01-01,Guarda,0,0
1954-01-01,Nelas,,
1954-01-01,Penhas Douradas,0,0
1954-01-01,Fundão,,
1954-01-01,Castelo Branco,0,0
1955-01-01,Montalegre,8,1
1955-01-01,Bragança,0,0
1955-01-01,Mirandela,0,0
1955-01-01,Miranda do Douro,0,0
1955-01-01,Vila Real/CC,6,1
1955-01-01,Carrazêda de Ansiães,,
1955-01-01,Pinhão,,
1955-01-01,Guarda,0,0
1955-01-01,Nelas,,
1955-01-01,Penhas Douradas,0,0
1955-01-01,Fundão,,
1955-01-01,Castelo Branco,0,0
1956-01-01,Montalegre,0,0
1956-01-01,Bragança,0,0
1956-01-01,Mirandela,0,0
1956-01-01,Miranda do Douro,0,0
1956-01-01,Vila Real/CC,0,0
1956-01-01,Carrazêda de Ansiães,,
1956-01-01,Pinhão,,
1956-01-01,Guarda,0,0
1956-01-01,Nelas,,
1956-01-01,Penhas Douradas,0,0
1956-01-01,Fundão,,
1956-01-01,Castelo Branco,0,0
1957-01-01,Montalegre,0,0
1957-01-01,Bragança,0,0
1957-01-01,Mirandela,0,0
1957-01-01,Miranda do Douro,0,0
1957-01-01,Vila Real/CC,0,0
1957-01-01,Carrazêda de Ansiães,,
1957-01-01,Pinhão,,
1957-01-01,Guarda,0,0
1957-01-01,Nelas,,
1957-01-01,Penhas Douradas,0,0
1957-01-01,Fundão,,
1957-01-01,Castelo Branco,0,0
1958-01-01,Montalegre,0,0
1958-01-01,Bragança,0,0
1958-01-01,Mirandela,0,0
1958-01-01,Miranda do Douro,0,0
1958-01-01,Vila Real/CC,0,0
1958-01-01,Carrazêda de Ansiães,,
1958-01-01,Pinhão,,
1958-01-01,Guarda,0,0
1958-01-01,Nelas,,
1958-01-01,Penhas Douradas,0,0
1958-01-01,Fundão,0,0
1958-01-01,Castelo Branco,0,0
1959-01-01,Montalegre,6,1
1959-01-01,Bragança,6,1
1959-01-01,Mirandela,0,0
1959-01-01,Miranda do Douro,6,1
1959-01-01,Vila Real/CC,6,1
1959-01-01,Carrazêda de Ansiães,,
1959-01-01,Pinhão,,
1959-01-01,Guarda,0,0
1959-01-01,Nelas,,
1959-01-01,Penhas Douradas,0,0
1959-01-01,Fundão,0,0
1959-01-01,Castelo Branco,0,0
1960-01-01,Montalegre,0,0
1960-01-01,Bragança,0,0
