year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring,Summer,Autumn,Annual,Winter
1931,85.4,23.5,193,53.9,89.4,29.5,9.7,24.1,20.7,107,118.7,1.2,336.3,63.3,246.4,756.1,
1932,76.3,31.5,104.2,59.8,62.5,42.5,15.9,12,124.3,80.2,84,235.2,226.5,70.4,288.5,928.4,109
1933,120.5,24,150.2,25.8,58.5,18,7.8,3.7,24.6,120.5,89.6,98,234.5,29.5,234.7,741.2,379.7
1934,57.7,5.3,159,134.8,34.8,6.6,8.8,18.6,10.6,12.5,96.6,319,328.6,34,119.7,864.3,161
1935,2.8,106,56.2,51.7,84.7,60.4,1.4,6.8,8.7,19.9,204.3,268,192.6,68.6,232.9,870.9,427.8
1936,303.7,256.8,254.1,141.6,60.1,37.3,14,4.4,18.1,41.4,79.6,60.5,455.8,55.7,139.1,1271.6,828.5
1937,289.6,117.7,239,86.4,39.1,19.5,2.2,0.1,38.5,131.8,235.2,149,364.5,21.8,405.5,1348.1,467.8
1938,72.1,31.5,33.4,47.5,78.5,6.9,3.9,0.9,57.5,30,74.7,154.9,159.4,11.7,162.2,591.8,252.6
1939,296.5,54.1,47.1,113.1,30.7,84.8,17.8,11.3,94.2,170,78.8,121.2,190.9,113.9,343,1119.6,505.5
1940,235,209.9,124.3,79.5,77.6,37.2,6,3.7,12.7,130.5,133.2,37.5,281.4,46.9,276.4,1087.1,566.1
1941,286.5,207.5,127.6,149.8,81.6,38,50.5,5,18.9,4.8,158.7,17.6,359,93.5,182.4,1146.5,531.5
1942,85.1,36.9,195.4,137.2,69,48,0.6,16.2,63.6,128.6,70.5,179.2,401.6,64.8,262.7,1030.3,139.6
1943,236.3,40.7,128.2,64.9,13.3,3.2,37.5,4.4,92,141.8,32.4,106.9,206.4,45.1,266.2,901.6,456.2
1944,14.4,34.9,57,107.1,21.1,40.2,25.2,34.3,25,54.2,76.2,90.7,185.2,99.7,155.4,580.3,156.2
1945,77.1,14.4,26.3,38.4,52.9,20.1,6.8,17.8,4,93.4,137.5,234.3,117.6,44.7,234.9,723,182.2
1946,55,35.9,134.1,117.6,169.8,27.6,0.5,12.6,39.5,76.4,108.1,75.6,421.5,40.7,224,852.7,325.2
1947,117.2,347,267.9,48.1,59.1,14.9,0.7,7.7,37,71.9,60.9,125.7,375.1,23.3,169.8,1158.1,539.8
1948,272.6,80.3,63,66.4,116.6,6.2,0.1,20.4,4,64,25.9,196.6,246,26.7,93.9,916.1,478.6
1949,48,18.8,47.6,47.2,24.4,22.9,13.1,2.2,147.5,55.8,139.9,109.5,119.2,38.2,343.2,676.9,263.4
1950,46.4,143.2,84.3,18.7,151.4,55.6,16.7,5.5,18.3,30.2,118.5,109.1,254.4,77.8,167,797.9,299.1
1951,147.4,196,177.2,48.7,82.9,32,15,14.3,34.2,58.8,246.3,70,308.8,61.3,339.3,1122.8,452.5
1952,68.9,37.5,177.7,68.7,112.3,54,13.5,20,47.4,75.1,121.3,122.7,358.7,87.5,243.8,919.1,176.4
1953,46.2,37.8,44.3,88.8,29.1,17,4.2,4.7,54.5,126.6,90.5,119.2,162.2,25.9,271.6,662.9,206.7
1954,49,58.7,178.3,59.5,31.5,28,1,17,4.4,34.2,146.5,59.9,269.3,46,185.1,668,226.9
1955,286.6,175.9,87.4,24.6,45.3,43.2,1.5,11,8,58.2,198.3,208.2,157.3,55.7,264.5,1148.2,522.4
1956,177.3,46,228.9,137.9,83.9,8.5,16.4,37.2,87.6,72.5,30.1,75.7,450.7,62.1,190.2,1002,431.5
1957,31.7,157.7,105.4,41.1,64.7,33.7,10.6,9.3,27.5,30.1,92.3,87.3,211.2,53.6,149.9,691.4,265.1
1958,148.3,87.5,152.8,55.8,35.6,66.1,14.6,29.9,23.5,56.9,16.7,312.1,244.2,110.6,97.1,999.8,323.1
1959,138.7,47.1,189.9,102.6,86.7,16.3,5.2,16.5,79.7,101,188.6,265.1,379.2,38,369.3,1237.4,497.9
1960,132.9,218.1,192.1,58.9,97.5,25.7,5.9,33,64.9,284.1,220.7,137.8,348.5,64.6,569.7,1471.6,616.1
1961,109.4,42.3,41.1,124.1,101.7,40.1,19.6,4.1,54.3,105.3,176.2,209.7,266.9,63.8,335.8,1027.9,289.5
1962,140,37.9,222.6,64.2,23,26.9,7.7,0.8,35.2,94,88.4,84.9,309.8,35.4,217.6,825.6,387.6
1963,262.1,232.4,146.2,125.1,39.8,62.7,2.9,3.1,26.4,52.8,332.6,223.7,311.1,68.7,411.8,1509.8,579.4
1964,42.6,223.5,184.7,43.2,25.8,66.6,13.2,6,37.4,43.9,32.3,54.1,253.7,85.8,113.6,773.3,489.8
1965,141.1,80.4,154.5,16.3,19.5,13.7,4.3,1.5,115.5,184.7,203.1,136.4,190.3,19.5,503.3,1071,275.6
1966,239.2,323.1,1.6,203.5,19.9,41.2,4.1,19.5,29.7,198.7,72.6,38.5,225,64.8,301,1191.6,698.7
1967,98.5,110.8,75.9,43.9,94.5,20.2,0.5,13.2,27.5,73.3,138.5,18.2,214.3,33.9,239.3,715,247.8
1968,7.1,239,79.5,107.1,69.3,7.4,1.5,19,55.9,69.2,207.7,159.9,255.9,27.9,332.8,1022.6,264.3
1969,189.1,177.2,218.1,56.3,120.5,50.5,5.9,1.5,84.2,81.3,129.3,68,394.9,57.9,294.8,1181.9,526.2
1970,382.5,37.8,27.3,20.5,105.4,80.3,3.4,10.7,6.2,8.6,119.2,45.1,153.2,94.4,134,847,488.3
