date,tmax,tmin,tmed
01/1931,12.78,4.75,8.77
02/1931,13.65,4.58,9.12
03/1931,15.61,8.33,11.97
04/1931,18.5,8.02,13.26
05/1931,19.43,9.78,14.61
06/1931,25.43,13.59,19.51
07/1931,26.22,14.14,20.18
08/1931,25.2,13.65,19.43
09/1931,24.1,12.13,18.12
10/1931,20.75,10.85,15.8
11/1931,15.59,7.96,11.78
12/1931,13.18,2.78,7.98
01/1932,12.63,3.67,8.15
02/1932,12.21,2.58,7.4
03/1932,15.38,7.04,11.21
04/1932,15.36,5.92,10.64
05/1932,19.07,9.13,14.1
06/1932,22.57,12.56,17.57
07/1932,25.33,13.98,19.66
08/1932,28.13,15.65,21.89
09/1932,24.36,13.93,19.14
10/1932,18.95,10.13,14.54
11/1932,15.98,8.04,12.01
12/1932,13.05,6.19,9.62
01/1933,11.22,3.23,7.22
02/1933,13.06,3.83,8.45
03/1933,15.17,7.37,11.27
04/1933,20.18,8.77,14.47
05/1933,23.39,12.29,17.84
06/1933,23.39,12.71,18.05
07/1933,28.76,15.76,22.26
08/1933,30.42,17.04,23.73
09/1933,23.71,13.89,18.8
10/1933,19.51,10.61,15.06
11/1933,13.83,5.53,9.68
12/1933,10.08,2.5,6.29
01/1934,11.48,2.99,7.24
02/1934,14.09,2.24,8.16
03/1934,13.43,5.07,9.25
04/1934,15.35,7.18,11.27
05/1934,22.18,11.63,16.91
06/1934,26.01,13.93,19.97
07/1934,28.62,16.01,22.32
08/1934,26.72,14.11,20.41
09/1934,26,13.77,19.88
10/1934,22.89,10.57,16.73
11/1934,13.46,4.74,9.1
12/1934,14.15,7.96,11.05
01/1935,11.8,1.89,6.84
02/1935,13.83,3.05,8.44
03/1935,17.53,6.82,12.18
04/1935,18.47,7.09,12.78
05/1935,18.36,9.01,13.68
06/1935,23.71,12.51,18.11
07/1935,29.76,15.96,22.86
08/1935,27.97,15.03,21.5
09/1935,26.89,13.61,20.25
10/1935,20.4,8.63,14.52
11/1935,15.04,7.11,11.07
12/1935,13.51,6.24,9.88
01/1936,13.57,7.34,10.46
02/1936,13.76,7.24,10.5
03/1936,13.71,6.98,10.35
04/1936,16.86,8.19,12.52
05/1936,18.67,8.71,13.69
06/1936,22.62,11.26,16.94
07/1936,26.37,13.94,20.16
08/1936,31.01,16.59,23.8
09/1936,26.46,14.02,20.24
10/1936,20.37,8.84,14.61
11/1936,14.8,5.8,10.3
12/1936,12,2.94,7.47
01/1937,12.39,4.88,8.63
02/1937,14.78,6.85,10.81
03/1937,13.33,6.02,9.68
04/1937,18.65,8.95,13.8
05/1937,21.6,10.04,15.82
06/1937,24.38,12.85,18.61
07/1937,30.04,15.98,23.01
08/1937,29.8,15.79,22.8
09/1937,25.6,13.39,19.5
10/1937,20.18,11.2,15.69
11/1937,16.25,9.97,13.11
12/1937,11.97,4.54,8.26
01/1938,12.57,4.19,8.38
02/1938,13.37,3.51,8.44
03/1938,19.06,6.7,12.88
04/1938,20.32,8.72,14.52
05/1938,20.18,9.78,14.98
06/1938,27.23,13.86,20.55
07/1938,27.91,14.26,21.09
08/1938,28.08,14.69,21.38
09/1938,23.44,12.87,18.16
10/1938,21.57,11.03,16.3
11/1938,17.76,8.94,13.35
12/1938,12.19,4.78,8.48
01/1939,12.87,6.67,9.77
02/1939,14.17,5.29,9.73
03/1939,15.37,5.37,10.37
04/1939,17.22,7.42,12.32
05/1939,21.87,9.94,15.91
06/1939,23.18,12.7,17.94
07/1939,27.22,14.4,20.81
08/1939,27.26,14.7,20.98
09/1939,25.61,14.4,20
10/1939,18.33,10.36,14.34
11/1939,15.69,7.14,11.41
12/1939,12.54,5.43,8.98
01/1940,11.99,5.12,8.55
02/1940,14.25,7.09,10.67
03/1940,17.42,8.51,12.96
04/1940,18.53,8.51,13.52
05/1940,20.25,10.02,15.13
06/1940,24.93,13.35,19.14
07/1940,27.51,14.3,20.91
08/1940,31.29,16.02,23.66
09/1940,26.2,13.6,19.9
10/1940,19.11,9.53,14.32
11/1940,15.52,6.71,11.11
12/1940,12.26,2.61,7.44
01/1941,10.49,3.92,7.21
02/1941,12.96,6.1,9.53
03/1941,14.77,6.8,10.79
04/1941,16.91,8.34,12.63
05/1941,18.58,9.21,13.89
06/1941,25.53,13.51,19.52
07/1941,27.7,15.49,21.59
08/1941,28.9,14.62,21.76
09/1941,27.86,15.23,21.55
10/1941,24.35,11.19,17.77
11/1941,15.22,6.31,10.77
12/1941,12.69,3.05,7.87
01/1942,12.03,3.67,7.85
02/1942,12.46,2.44,7.45
03/1942,15.24,8.51,11.88
04/1942,16.92,8.49,12.71
05/1942,20.33,10.61,15.47
06/1942,25.95,14.17,20.06
07/1942,28.82,14.47,21.64
08/1942,27.81,14.37,21.09
09/1942,25.23,13.76,19.5
10/1942,21.81,11.72,16.77
11/1942,16.05,7.27,11.66
12/1942,13.46,5.84,9.65
01/1943,13.67,6.76,10.21
02/1943,14.46,4.55,9.5
03/1943,16.35,6.71,11.53
04/1943,21.45,10.19,15.82
05/1943,23.58,11.28,17.43
06/1943,28.45,14.74,21.59
07/1943,27.53,15.21,21.37
08/1943,30.71,15.87,23.29
09/1943,23.65,12.78,18.21
10/1943,20.01,10.6,15.3
11/1943,15.26,5.61,10.43
12/1943,12.75,5.06,8.9
01/1944,13.4,3.34,8.37
02/1944,13.39,2.43,7.91
03/1944,17.05,5.92,11.48
04/1944,19.93,9.63,14.78
05/1944,23.96,11.48,17.72
06/1944,26.72,14.65,20.68
07/1944,28,14.66,21.33
08/1944,28.23,15.84,22.04
09/1944,26.04,14.4,20.22
10/1944,18.91,9.14,14.03
11/1944,16.07,7.25,11.66
12/1944,12.31,4.07,8.19
01/1945,9.87,1.94,5.9
02/1945,15.81,5.62,10.71
03/1945,19.65,6.78,13.21
04/1945,23.19,11.18,17.19
05/1945,21.74,10.55,16.14
06/1945,27.2,14.69,20.95
07/1945,28.08,14.41,21.24
08/1945,26.99,14.3,20.64
09/1945,27.36,13.74,20.55
10/1945,23.44,12.68,18.06
11/1945,17.54,10.09,13.81
12/1945,14.23,6.73,10.48
01/1946,11.6,4.21,7.9
02/1946,15.26,5.28,10.27
03/1946,14.94,6.51,10.72
04/1946,17.4,8.87,13.13
05/1946,17.22,9.21,13.21
06/1946,24.79,12.93,18.86
07/1946,30.2,15.61,22.91
08/1946,27.4,14.67,21.04
09/1946,25.63,13.61,19.62
10/1946,21.41,12.23,16.82
11/1946,16.37,7.86,12.12
12/1946,12.43,4.78,8.61
01/1947,11.63,4.03,7.83
02/1947,12.32,6.25,9.29
03/1947,15,8.23,11.62
04/1947,21.1,9.19,15.14
05/1947,20.62,10.13,15.38
06/1947,26.02,13.55,19.79
07/1947,28.96,15.41,22.19
08/1947,28.48,16.02,22.25
09/1947,26,14.44,20.22
10/1947,22.75,12.66,17.7
11/1947,19.79,9.07,14.43
12/1947,13.13,4.31,8.72
01/1948,13.65,6.55,10.1
02/1948,15.47,6.59,11.03
03/1948,19.84,9.17,14.5
04/1948,17.98,8.52,13.25
05/1948,19.62,10.57,15.1
06/1948,26.75,13.81,20.28
07/1948,28.62,14.63,21.63
08/1948,28.05,15.27,21.66
09/1948,28.21,14.82,21.52
10/1948,22.73,11.95,17.34
11/1948,19.58,9.28,14.43
12/1948,14.69,7.3,10.99
01/1949,13.97,4.07,9.02
02/1949,16.59,5.37,10.98
03/1949,17.02,6.57,11.79
04/1949,22.17,10.5,16.34
05/1949,21.47,10.3,15.88
06/1949,26.87,14.25,20.56
07/1949,30.57,17.02,23.8
08/1949,31.55,17.39,24.47
09/1949,24.56,15.2,19.88
10/1949,22.38,12.21,17.3
11/1949,16.89,8.31,12.6
12/1949,13.05,5.96,9.51
01/1950,12.7,3.62,8.16
02/1950,14.53,5.63,10.08
03/1950,17.25,7.38,12.32
04/1950,19.52,7.78,13.65
05/1950,20.82,10.82,15.82
06/1950,25.4,14.1,19.75
07/1950,28.81,15.99,22.4
08/1950,27.95,14.5,21.23
09/1950,26.18,13.39,19.79
10/1950,22.19,11.84,17.02
11/1950,17.7,9.59,13.64
12/1950,11.6,4.12,7.86
01/1951,12.27,4.92,8.59
02/1951,11.71,4.88,8.29
03/1951,15.5,6.55,11.02
04/1951,18.5,8,13.25
05/1951,18.21,8.55,13.38
06/1951,25.55,13.28,19.41
07/1951,27.84,15.52,21.68
08/1951,26.84,14.2,20.52
09/1951,26.1,13.9,20
10/1951,20.14,9.88,15.01
11/1951,14.89,8.18,11.54
12/1951,13.75,6.15,9.95
01/1952,10.96,2.44,6.7
02/1952,13.91,4.43,9.17
03/1952,17.66,8.54,13.1
04/1952,18,8.22,13.11
05/1952,21.14,11.57,16.36
06/1952,25.55,14.53,20.04
07/1952,28.29,15.44,21.86
08/1952,26.67,14.37,20.52
09/1952,23.84,11.88,17.86
10/1952,20.88,11.4,16.14
11/1952,16.93,7.22,12.07
12/1952,13.29,5.63,9.46
01/1953,12.09,3.43,7.76
