Year,Region,Drought,Extreme temperature,Flood,Storm,Wildfire
1975,Africa,0,0,248000,846308,0
1975,Asia,0,0,48053448,9396,0
1975,Europe,0,0,1000000,0,0
1975,North America,0,0,0,540,0
1975,Oceania,0,0,0,23000,0
1975,South America,0,600,828000,0,0
1976,Africa,3120000,0,70000,508876,0
1976,Asia,0,0,9882098,3632369,0
1976,Europe,0,0,0,0,0
1976,North America,0,0,23250,576400,0
1976,Oceania,0,0,10129,0,0
1976,South America,0,0,0,0,0
1977,Africa,4208400,0,646900,30151,0
1977,Asia,3750000,0,2683046,14683956,0
1977,Europe,0,0,48836,0,0
1977,North America,450000,0,20700,50000,0
1977,Oceania,0,0,120,10005,0
1977,South America,0,0,224440,16900,0
1978,Africa,527000,0,446900,123000,7200
1978,Asia,6020885,0,41818232,3009210,0
1978,Europe,0,0,2650,19,0
1978,North America,0,0,9000,13670,0
1978,Oceania,0,0,2726,100,0
1978,South America,0,0,208600,100,0
1979,Africa,7490000,0,213042,120257,0
1979,Asia,13500000,0,28102100,2239033,30000
1979,Europe,0,0,61222,0,0
1979,North America,0,0,398000,1653873,0
1979,Oceania,0,0,0,41900,0
1979,South America,5000000,0,1812000,0,0
1980,Africa,8495000,0,0,7000,0
1980,Asia,1002100,0,44571349,17558240,0
1980,Europe,0,0,104313,0,0
1980,North America,103000,0,258350,1301086,5000
1980,Oceania,40000,0,2900,35250,0
1980,South America,0,0,362050,48,0
1981,Africa,7330000,0,657235,119850,0
1981,Asia,0,0,19893935,3410698,48588
1981,Europe,0,0,27800,10000,0
1981,North America,0,0,150000,0,0
1981,Oceania,80000,0,2250,6700,0
1981,South America,0,0,57300,0,0
1982,Africa,2237300,0,667514,104722,0
1982,Asia,102000000,0,35477674,7810715,9000
1982,Europe,0,0,244010,0,18
1982,North America,0,200,93456,353500,0
1982,Oceania,0,0,0,176514,0
1982,South America,0,0,928000,4300,0
1983,Africa,34423000,0,137000,44163,0
1983,Asia,21691060,0,10359294,2938551,0
1983,Europe,0,0,514324,1052,20
1983,North America,156000,0,164575,291500,0
1983,Oceania,31000,0,13140,217196,12000
1983,South America,23703049,2700,9768300,540,0
1984,Africa,3220000,0,5970,1588215,0
1984,Asia,2000,0,51142757,6522005,0
1984,Europe,0,0,2000,62310,200
1984,North America,30000,0,26600,34657,0
1984,Oceania,0,0,6805,0,0
1984,South America,0,0,2334500,323373,0
1985,Africa,500000,0,1114972,35000,1500
1985,Asia,0,0,14730307,4240763,0
1985,Europe,0,7085,10030,0,430
1985,North America,0,0,9445,1521461,0
1985,Oceania,0,0,270,240150,100
1985,South America,0,0,1833475,3000,800
1986,Africa,850000,0,36723,84309,0
1986,Asia,1000,30000,11041901,14393839,0
1986,Europe,0,0,8500,1900,2050
1986,North America,0,0,234012,4480,2000
1986,Oceania,0,0,216830,158512,0
1986,South America,0,0,1044953,59806,0
1987,Africa,12987267,0,195000,57714,0
1987,Asia,303202100,7,49499889,5764441,56313
1987,Europe,0,0,70000,4600,0
1987,North America,73000,0,42637,3928,0
1987,Oceania,0,0,700,55804,130
1987,South America,750000,0,279262,1000,152752
1988,Africa,3553500,0,3163247,15307,0
1988,Asia,50536000,200,95554024,18548901,0
1988,Europe,0,0,48780,0,0
1988,North America,0,0,1358748,2363022,0
1988,Oceania,0,0,1958,6700,0
1988,South America,0,0,7853014,100000,0
1989,Africa,8860000,0,1369391,66114,0
1989,Asia,5000000,0,101866268,50653017,0
1989,Europe,3200000,0,6800,0,0
1989,North America,0,0,24930,70264,25000
1989,Oceania,0,0,154,0,0
1989,South America,0,0,1064444,45000,0
1990,Africa,8066900,1000000,692368,0,0
1990,Asia,254282,0,45700189,17049825,0
1990,Europe,6000000,0,44388,0,0
1990,North America,0,0,186661,14168,0
1990,Oceania,0,0,6800,205105,0
1990,South America,2483160,0,45525,0,0
1991,Africa,22652000,0,2150422,257800,0
1991,Asia,7500000,450,224772797,22938659,8
1991,Europe,0,0,57000,0,0
1991,North America,0,0,800422,13000,300
1991,Oceania,0,0,128,94408,0
1991,South America,0,0,18500,0,0
1992,Africa,7431500,0,2258,0,0
1992,Asia,12000000,0,18864717,18130190,50000
1992,Europe,0,0,49530,3000,0
1992,North America,1000000,16000,17927,306805,2190
1992,Oceania,7000000,0,90000,8822,0
1992,South America,1100000,0,580892,38000,0
1993,Africa,2346507,0,284705,17397,0
1993,Asia,1175000,0,147067006,13571651,0
1993,Europe,10000,260,505353,788420,0
1993,North America,0,0,1027670,353385,130
1993,Oceania,0,3000500,74530,312768,0
1993,South America,0,0,302559,15900,0
1994,Africa,1200000,0,1166881,3048851,0
