Year,Region,Drought,Extreme temperature,Flood,Storm,Wildfire
1975,Africa,0,0,26,28,0
1975,Asia,0,14,20644,822,0
1975,Europe,0,0,60,0,0
1975,North America,0,0,0,171,0
1975,Oceania,0,0,0,0,0
1975,South America,0,126,118,20,0
1976,Africa,0,0,0,16,0
1976,Asia,0,0,738,936,0
1976,Europe,0,0,0,113,0
1976,North America,0,0,180,720,0
1976,Oceania,0,0,0,9,0
1976,South America,0,0,47,0,0
1977,Africa,0,0,411,26,0
1977,Asia,0,0,1835,15146,0
1977,Europe,0,0,85,0,0
1977,North America,0,0,147,101,0
1977,Oceania,0,0,0,0,3
1977,South America,0,0,93,25,0
1978,Africa,0,0,120,174,2
1978,Asia,63,150,5639,3265,0
1978,Europe,0,0,30,1,0
1978,North America,0,0,52,226,0
1978,Oceania,0,0,7,5,0
1978,South America,0,0,72,5,0
1979,Africa,0,0,66,8,0
1979,Asia,0,470,453,908,0
1979,Europe,0,0,70,0,0
1979,North America,0,0,77,1637,0
1979,Oceania,0,0,0,70,0
1979,South America,0,0,362,0,0
1980,Africa,0,0,0,25,0
1980,Asia,0,129,10101,1064,0
1980,Europe,0,0,7,0,0
1980,North America,0,1260,141,257,0
1980,Oceania,0,0,0,18,0
1980,South America,0,0,218,15,0
1981,Africa,103000,0,177,107,0
1981,Asia,0,300,4606,3528,8
1981,Europe,0,0,77,21,0
1981,North America,0,0,50,130,0
1981,Oceania,0,0,2,4,0
1981,South America,0,0,317,0,0
1982,Africa,0,0,229,95,0
1982,Asia,280,400,2457,1681,0
1982,Europe,0,0,57,14,2
1982,North America,0,0,1156,953,0
1982,Oceania,0,0,0,8,0
1982,South America,0,0,729,33,0
1983,Africa,450500,0,0,86,0
1983,Asia,0,0,1450,3118,0
1983,Europe,0,0,94,29,31
1983,North America,0,188,25,407,0
1983,Oceania,0,0,56,16,75
1983,South America,20,17,469,1,0
1984,Africa,0,0,54,383,0
1984,Asia,230,290,2548,3371,0
1984,Europe,0,0,0,465,17
1984,North America,0,0,29,523,0
1984,Oceania,0,0,36,0,0
1984,South America,0,0,313,137,0
1985,Africa,0,0,104,2,4
1985,Asia,0,328,3216,16687,13
1985,Europe,0,128,352,3,23
1985,North America,0,0,524,386,0
1985,Oceania,0,0,4,68,11
1985,South America,0,0,176,22,0
1986,Africa,0,0,23,99,0
1986,Asia,84,2,1334,1685,0
1986,Europe,0,0,3,11,20
1986,North America,0,48,237,13,0
1986,Oceania,0,0,28,110,0
1986,South America,0,0,158,21,0
1987,Africa,1017,0,524,65,0
1987,Asia,300,140,5468,2489,191
1987,Europe,0,1000,142,135,0
1987,North America,0,80,143,180,0
1987,Oceania,0,0,0,59,0
1987,South America,0,0,493,1,0
1988,Africa,200,0,450,161,0
1988,Asia,1400,450,7006,2524,0
1988,Europe,0,94,16,0,0
1988,North America,0,23,111,606,0
1988,Oceania,0,0,17,7,0
1988,South America,0,77,904,37,0
1989,Africa,237,0,89,57,0
1989,Asia,0,297,4272,3964,0
1989,Europe,0,0,29,55,0
1989,North America,0,84,60,138,1
1989,Oceania,0,0,19,12,0
1989,South America,0,0,247,47,0
1990,Africa,0,0,315,2,0
1990,Asia,0,583,1685,4148,0
1990,Europe,0,5,19,257,0
1990,North America,0,391,104,208,0
1990,Oceania,0,0,12,10,0
1990,South America,0,0,116,0,0
1991,Africa,0,0,522,40,5
1991,Asia,2000,785,5114,146055,57
1991,Europe,0,25,120,89,0
1991,North America,0,0,76,100,28
