Region,Year,Greenhouse gas emissions
Africa,1975,4.9136114
Africa,1976,4.9150443
Africa,1977,5.0113983
Africa,1978,4.75205
Africa,1979,4.7527676
Africa,1980,4.67068
Africa,1981,4.394617
Africa,1982,4.365307
Africa,1983,4.3608475
Africa,1984,4.525942
Africa,1985,4.3889017
Africa,1986,4.1593056
Africa,1987,4.1084843
Africa,1988,4.009989
Africa,1989,4.089607
Africa,1990,4.092601
Africa,1991,4.115537
Africa,1992,4.169275
Africa,1993,4.1921844
Africa,1994,4.550879
Africa,1995,4.545558
Africa,1996,4.4808536
Africa,1997,4.408943
Africa,1998,4.4974523
Africa,1999,4.2905226
Africa,2000,4.269416
Africa,2001,4.0564685
Africa,2002,4.1168013
Africa,2003,4.2510867
Africa,2004,4.1736507
Africa,2005,4.0648894
Africa,2006,4.0077324
Africa,2007,3.9789762
Africa,2008,4.233129
Africa,2009,4.2960343
Africa,2010,4.425654
Africa,2011,4.535423
Africa,2012,4.3236566
Africa,2013,4.1821504
Africa,2014,4.0660644
Africa,2015,3.7373765
Africa,2016,3.7283998
Africa,2017,3.7775903
Africa,2018,3.4957786
Africa,2019,3.4124873
Africa,2020,3.2954807
Africa,2021,3.3108938
Africa,2022,3.2798626
Africa,2023,3.20355
Africa,2024,3.1489234
Asia,1975,3.7921789
Asia,1976,3.7517436
Asia,1977,3.9779527
Asia,1978,4.072887
Asia,1979,3.825429
Asia,1980,3.7114816
Asia,1981,3.584848
Asia,1982,3.507431
Asia,1983,3.5578942
Asia,1984,3.7934334
Asia,1985,3.8870063
Asia,1986,4.0203953
Asia,1987,3.918444
Asia,1988,3.9601798
Asia,1989,3.9272697
Asia,1990,3.834115
Asia,1991,3.9515848
Asia,1992,3.8968604
Asia,1993,3.8856943
Asia,1994,4.0344763
Asia,1995,4.0442667
Asia,1996,4.1242604
Asia,1997,4.56533
Asia,1998,3.9648235
Asia,1999,4.025085
Asia,2000,4.063108
Asia,2001,3.9735775
Asia,2002,4.1155076
