,Region,Year,Droughts,Floods,Storms,Extreme temperatures,Wildfires
15,Africa,1975,0.03480474,0.0,0.264958025,,
16,Africa,1976,0.0,0.0,0.7791574,,
17,Africa,1977,0.0,0.0,7.4186165,,
18,Africa,1978,0.124514515,0.0035574117,0.543121,,0.0
19,Africa,1979,0.0,0.0,7.1286195,,
20,Africa,1980,0.0,,,,
21,Africa,1981,0.0,0.0,2.6354132475,,
22,Africa,1982,0.0,0.0,2.1332471,,
23,Africa,1983,0.0,0.01969543,0.266726015,,
24,Africa,1984,0.0,0.0,0.1673144,,0.0
25,Africa,1985,0.0,0.0,2.830331,,0.0
26,Africa,1986,0.0,0.0,3.44987,,
27,Africa,1987,0.0,0.0,0.0,,
28,Africa,1988,0.0,0.0,0.0,,
29,Africa,1989,0.0,0.0,0.76667,,
30,Africa,1990,0.0,0.0,0.31178564,12.226847,
31,Africa,1991,0.0,0.0,0.0,,0.0
32,Africa,1992,0.0,0.0018748776,,0.0,
33,Africa,1993,0.0,0.0,0.0,,
34,Africa,1994,0.0,0.0,0.0,,0.0
35,Africa,1995,0.0,0.0,0.0,0.0,0.0
36,Africa,1996,0.0,0.0,0.0,0.0,
37,Africa,1997,0.0,0.0,0.0012749154,,0.0
38,Africa,1998,0.0,0.0,0.10785513,,0.0
39,Africa,1999,0.0,0.0,0.0,,0.0
40,Africa,2000,0.0,0.0,0.0,0.00094031595,0.003294833
41,Africa,2001,0.0,0.0,0.0,,0.0
42,Africa,2002,0.0,0.0,0.0,0.0,0.0
43,Africa,2003,0.0,0.0,0.0,0.0,
44,Africa,2004,0.0,0.0,0.0,,0.0
45,Africa,2005,0.0,0.0,0.0,,
46,Africa,2006,0.0,0.0,0.0,,
47,Africa,2007,0.0,0.0,0.0,0.0,0.0
48,Africa,2008,0.0,0.0,0.0,,0.068009725
49,Africa,2009,0.0,0.0,0.0,,0.0
50,Africa,2010,0.0,0.0,0.0,,0.0
51,Africa,2011,0.0,0.0,0.0,,
52,Africa,2012,0.0,0.0,0.0,0.0,
53,Africa,2013,0.0,0.0,0.039503194,,0.0
54,Africa,2014,0.0,0.0,0.0,,
55,Africa,2015,0.0,0.0,0.0,0.0,0.0
56,Africa,2016,0.0,0.0,0.0037600575,0.0,
57,Africa,2017,0.0,0.0,0.06408014,0.0,0.055053255
58,Africa,2018,0.0,0.0,0.0,0.0,
59,Africa,2019,0.0,0.0,0.0,0.0,
60,Africa,2020,0.0,0.0,0.0,,
61,Africa,2021,0.0,0.0,0.0,,0.0
62,Africa,2022,0.0,0.0,0.0,,0.0
63,Africa,2023,0.0,0.0,0.0,,0.0
64,Africa,2024,0.0,0.0,0.0,0.0,0.0
80,Asia,1975,,0.0,0.0064028715,0.0,
81,Asia,1976,0.0,0.0,0.06778427634999999,,
82,Asia,1977,0.0,0.0,0.0,,
83,Asia,1978,0.0,0.0,0.0,0.0,
84,Asia,1979,0.0,0.0031128293,0.026379523,0.0,1.1551406
85,Asia,1980,0.0,0.013242809999999999,0.0,0.0,
86,Asia,1981,0.0,0.0,0.0,0.0,0.0
87,Asia,1982,0.0,0.0,0.0091479355,0.0,0.0
88,Asia,1983,0.0,0.0,0.0,,0.0
89,Asia,1984,0.0,0.0,0.0082485835,0.0,0.00094269525
90,Asia,1985,0.0,0.0,5.8823905e-05,0.061932407,0.0
91,Asia,1986,0.0,0.002402743185,0.0046646485,0.0,0.0
92,Asia,1987,0.0,0.0145587215,0.0,0.0,0.040225975
93,Asia,1988,0.0,0.005456691,0.0,0.0,
94,Asia,1989,0.0,0.0,0.071478084,0.0,
95,Asia,1990,0.0064500286,0.01230638775,0.05858698,0.0,4.2955565
96,Asia,1991,0.0,0.0241542005,0.011241008,0.0,0.011318619
97,Asia,1992,0.018523151,0.303116195,0.0,0.34609615,0.18228798
